"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
108,57,"CIV","Côte d'Ivoire",9,"Sassandra-Marahoué",21,"Haut-Sassandra",72,"Vavoua",108,"Vavoua","",NA,"","Sous-préfecture","Sub-prefecture"
109,57,"CIV","Côte d'Ivoire",9,"Sassandra-Marahoué",21,"Haut-Sassandra",73,"Zoukougbeu",109,"Zoukougbeu","",NA,"","Sous-préfecture","Sub-prefecture"
110,57,"CIV","Côte d'Ivoire",9,"Sassandra-Marahoué",22,"Marahoué",74,"Bouaflé",110,"Bonon","",NA,"","Sous-préfecture","Sub-prefecture"
111,57,"CIV","Côte d'Ivoire",9,"Sassandra-Marahoué",22,"Marahoué",74,"Bouaflé",111,"Bouafle","",NA,"","Sous-préfecture","Sub-prefecture"
112,57,"CIV","Côte d'Ivoire",9,"Sassandra-Marahoué",22,"Marahoué",75,"Sinfra",112,"Sinfra","",NA,"","Sous-préfecture","Sub-prefecture"
113,57,"CIV","Côte d'Ivoire",9,"Sassandra-Marahoué",22,"Marahoué",76,"Zuénoula",113,"Gohitafla","",NA,"","Sous-préfecture","Sub-prefecture"
114,57,"CIV","Côte d'Ivoire",9,"Sassandra-Marahoué",22,"Marahoué",76,"Zuénoula",114,"Zuénoula","",NA,"","Sous-préfecture","Sub-prefecture"
115,57,"CIV","Côte d'Ivoire",10,"Savanes",23,"Bagoué",77,"Boundiali",115,"Boundiali","",NA,"","Sous-préfecture","Sub-prefecture"
116,57,"CIV","Côte d'Ivoire",10,"Savanes",23,"Bagoué",77,"Boundiali",116,"Kassere","",NA,"","Sous-préfecture","Sub-prefecture"
117,57,"CIV","Côte d'Ivoire",10,"Savanes",23,"Bagoué",78,"Kouto",117,"Gbon","",NA,"","Sous-préfecture","Sub-prefecture"
118,57,"CIV","Côte d'Ivoire",10,"Savanes",23,"Bagoué",78,"Kouto",118,"Kolia","",NA,"","Sous-préfecture","Sub-prefecture"
119,57,"CIV","Côte d'Ivoire",10,"Savanes",23,"Bagoué",78,"Kouto",119,"Kouto","",NA,"","Sous-préfecture","Sub-prefecture"
